size	status	branch	prs	path	last_commit
313M	clean	b21/failed-deletion-events	none	/private/tmp/B21-failed-deletions	a84ace451 docs(recon): B21 diagnostic — 2 still-phantom deletion rows, zero paying impact
313M	clean	b27/profile-trigger-audit	none	/private/tmp/B27-profile-triggers	2ad771084 docs(recon): B63 verify T2 binding — AFTER INSERT OR UPDATE OF status (resolves B27↔RECON-tier-trigger discrepancy)
313M	clean	b41/next-session-primer	none	/private/tmp/B41-next-session-primer	6d03e2c4e docs(recon): B59 freshen B41 primer — fold B45/B48/B36, fix B5/B25 framings (META, no code)
313M	clean	b42/price-map-missing-row	none	/private/tmp/B42-price-map-fix	202bfffa5 docs(billing): RUNBOOK for missing billing_price_map yearly row (B42)
393M	clean	b44/dispatch-template-enforce-recon	780	/private/tmp/B44-dispatch-template-update	1a6966ca2 docs(agent-briefs): dispatch-brief template enforces recon + SQL conventions
313M	clean	b45/billing-architecture-map	none	/private/tmp/B45-billing-architecture-map	ffa38722b docs(recon): B45 — billing/entitlement architecture as-built map
313M	clean	b47/billing-architecture-history	none	/private/tmp/B47-billing-history	9cfb4a184 docs(recon): billing/entitlement chronology — dead twin born w/ engine, ghost trigger, unmerged tier fix (B47)
313M	clean	b48/billing-target-state	none	/private/tmp/B48-billing-target-state	d46238be0 docs(recon): B48 billing/entitlement target state — single source/read/write + roadmap
421M	dirty	b49/premise-correction-section	782	/private/tmp/B49-premise-correction	3e99abec1 docs(agent-briefs): premise correction protocol added to preflight checklist
313M	dirty	b5/mylinh-paid-but-free-diagnostic	none	/private/tmp/B5-mylinh-paid-but-free	245d8ec6d docs(recon): B5 diagnostic — mylinh paid-but-free from stale period_end
421M	clean	b50/pr-title-convention	781	/private/tmp/B50-pr-title-convention	e135fff54 docs(agent-briefs): PR title convention for dispatch-driven PRs (B50)
313M	clean	b52/price-map-autoupsert-scoping	none	/private/tmp/B52-price-map-autoupsert	20e80c1e9 docs(billing): B52 — billing_price_map auto-upsert design (3-option, recommend A fill-gap)
313M	clean	b53/price-data-quality-diagnostic	none	/private/tmp/B53-price-data-quality	35ef2ea1c docs(billing): B53 price data-quality diagnostic — recon + placeholder remediation
313M	clean	b55/recon-durability-tradeoff	none	/private/tmp/B55-recon-durability	272b5ee2d docs(meta): recon-doc durability tradeoff — recommend Option B (B55)
421M	clean	b56/principles-session-update	783	/private/tmp/B56-principles-update	11b11f6c9 docs: session-end principles refresh (May 19 patterns)
313M	clean	b57/mylinh-sql-salvage	none	/private/tmp/B57-mylinh-sql-salvage	7e06fb59f docs(remediation): salvage B5 mylinh paid-but-free SQL into durable skeleton
313M	clean	b58/gift-write-or-fallback	none	/private/tmp/B58-gift-write-or-fallback	0dc77e81a docs(billing): B58 — gift→canonical write vs read-fallback design answer
313M	clean	b60/merge-queue-priority	none	/private/tmp/B60-merge-queue	d392cca31 docs(meta): B60 session-end merge queue priority (29 PRs, tiered)
313M	clean	b61/out-of-band-schema-audit	none	/private/tmp/B61-out-of-band-schema	b51eac418 docs(recon): B61 out-of-band schema audit — 3 patch-over-ghost trigger bindings + class gap in A21's drift CI
313M	clean	b62/pr-ci-status	none	/private/tmp/B62-pr-ci-status	bca42770a docs(recon): open-PR CI + merge-gate status snapshot (B62)
313M	clean	b64/price-map-repair-sql	none	/private/tmp/B64-price-map-sql	8472883a7 docs(money-path): B64 — paste-ready SQL for billing_price_map yearly-row repair
313M	clean	b66/session-closeout	none	/private/tmp/B66-session-closeout	d5d1b79c9 docs(closeout): single session-end action sweep (B66)
365M	clean	feat/placement-v3-recommender	936,942	/private/tmp/mercyb-a26-recommender	942a495ba feat(placement-v3): add recommendation engine
287M	dirty	reports/disk-cleanup-audit	943	/private/tmp/mercyb-disk-cleanup-audit	de6d31c28 feat(placement-v3): end-to-end integration + vertical E2E (A33) (#942)
380M	clean	reports/placement-v3-post-merge-readiness	none	/private/tmp/mercyb-placement-v3-report	ba27fd28b docs(placement-v3): preserve vertical e2e trace artifact
365M	clean	feat/placement-v3-storage	935,942	/private/tmp/placement-v3-storage	5ff6191eb feat(placement-v3): add storage schema
317M	clean	fix/guide-assistant-restore-safety-guards	664	/Users/admin/MercyB/.claude/worktrees/agent-a2668270651dadf8e	018619a07 fix(guide-assistant): restore prod crisis-safety + rate-limit + AI kill-switch lost in #198
